sale_month,sku_code,product_name,channel,region,units,revenue
2025-01,SKU-001,零糖气泡水480ml,便利店,华东,12500,187500
2025-01,SKU-002,无糖茶500ml,便利店,华东,8200,131200
2025-01,SKU-003,电解质水500ml,商超,华北,6800,122400
2025-01,SKU-004,零糖气泡水480ml,电商,华南,15200,212800
2025-01,SKU-005,轻润绿茶500ml,特通,华东,3100,46500
2025-02,SKU-001,零糖气泡水480ml,便利店,华东,13200,198000
2025-02,SKU-002,无糖茶500ml,便利店,华北,9100,145600
2025-02,SKU-003,电解质水500ml,商超,华南,7200,129600
2025-02,SKU-004,零糖气泡水480ml,电商,华东,16800,235200
2025-02,SKU-005,轻润绿茶500ml,特通,华北,2800,42000
2025-03,SKU-001,零糖气泡水480ml,便利店,华南,14100,211500
2025-03,SKU-002,无糖茶500ml,商超,华东,9800,156800
2025-03,SKU-003,电解质水500ml,电商,华北,8900,160200
2025-03,SKU-004,零糖气泡水480ml,电商,华南,17500,245000
2025-03,SKU-005,轻润绿茶500ml,便利店,华东,3600,54000
2025-04,SKU-001,零糖气泡水480ml,商超,华北,13800,207000
2025-04,SKU-002,无糖茶500ml,便利店,华南,10200,163200
2025-04,SKU-003,电解质水500ml,电商,华东,9500,171000
2025-04,SKU-004,零糖气泡水480ml,电商,华东,18200,254800
2025-04,SKU-005,轻润绿茶500ml,特通,华南,3300,49500
2025-05,SKU-001,零糖气泡水480ml,便利店,华东,15600,234000
2025-05,SKU-002,无糖茶500ml,商超,华北,11000,176000
2025-05,SKU-003,电解质水500ml,电商,华南,10800,194400
2025-05,SKU-004,零糖气泡水480ml,电商,华北,19100,267400
2025-05,SKU-005,轻润绿茶500ml,便利店,华东,4100,61500
2025-06,SKU-001,零糖气泡水480ml,电商,华东,21000,294000
2025-06,SKU-002,无糖茶500ml,便利店,华南,12800,204800
2025-06,SKU-003,电解质水500ml,商超,华北,12500,225000
2025-06,SKU-004,零糖气泡水480ml,电商,华南,22500,315000
2025-06,SKU-005,轻润绿茶500ml,特通,华东,4800,72000
